Time_min,BG_mg_dL,IOB_U,CHO_g,INS_U_min
0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
1.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
2.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
3.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
4.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
5.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
6.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
7.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
8.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
9.0,115.05730896885453,2.0199543606460977,0,0.02082057675429045
10.0,115.05730896885453,2.0199543606460977,0,4.154297433589597
11.0,115.05730809029725,6.152049373250563,0,0.02082057675429045
12.0,115.0572602045294,6.145182670896873,0,0.02082057675429045
13.0,115.05685622061372,6.134267350767131,0,0.02082057675429045
14.0,115.05528944320565,6.120899735364065,0,0.02082057675429045
15.0,115.05119318697449,6.105854018810851,0,0.0
16.0,115.04268652714704,6.068709004902042,0,0.0
17.0,115.02746378130604,6.030526468954509,0,0.0
18.0,115.0028977427668,5.991455266043198,0,0.0
19.0,114.96614238388017,5.951594599681108,0,0.0
20.0,114.91422767869622,5.91101849592502,75,0.020833333333333332
21.0,114.84417845834025,5.89061373569914,0,0.020833333333333332
22.0,114.75379704744464,5.869571710162876,0,0.020833333333333332
23.0,114.64266492739937,5.84791912407005,0,0.020833333333333332
24.0,114.5121122507329,5.825686927076682,0,0.020833333333333332
25.0,114.364662418089,5.802906994243104,0,0.020833333333333332
26.0,114.2034600436322,5.779610709137499,0,0.020833333333333332
27.0,114.0323008961303,5.755828403888435,0,0.020833333333333332
28.0,113.85703593411942,5.731589178655645,0,0.020833333333333332
29.0,113.68561680094118,5.706920883818579,0,0.020833333333333332
30.0,113.52771628040418,5.681850167171376,0,0.020833333333333332
31.0,113.39438074121786,5.656402542954602,0,0.020833333333333332
32.0,113.29771592174389,5.630602464299364,0,0.020833333333333332
33.0,113.2506066855411,5.604473391724287,0,0.020833333333333332
34.0,113.26646519329383,5.5780378552295975,0,0.020833333333333332
35.0,113.35900671437166,5.55131750963999,0,0.020833333333333332
36.0,113.542171834683,5.524333183665784,0,0.020833333333333332
37.0,113.82981765578337,5.4971049234358516,0,0.020833333333333332
38.0,114.23454687636307,5.469652031246381,0,0.020833333333333332
39.0,114.76702336110264,5.441993100258578,0,0.020833333333333332
40.0,115.43562726121019,5.414146045755712,0,0.020833333333333332
41.0,116.24632127270142,5.386128133489024,0,0.020833333333333332
42.0,117.20265703388716,5.357956005555799,0,0.020833333333333332
43.0,118.30586979735745,5.329645704179808,0,0.020833333333333332
44.0,119.55502404640144,5.301212693699246,0,0.020833333333333332
45.0,120.94718405467334,5.272671881022166,0,0.020833333333333332
46.0,122.47759015300399,5.244037634757468,0,0.020833333333333332
47.0,124.13982857881071,5.215323803197184,0,0.020833333333333332
48.0,125.92598968695,5.186543731299242,0,0.020833333333333332
49.0,127.82681329132923,5.157710276790714,0,0.020833333333333332
50.0,129.8318243591386,5.128835825493607,0,0.020833333333333332
51.0,131.92946620166498,5.099932305958209,0,0.020833333333333332
52.0,134.1072412485499,5.071011203475165,0,0.020833333333333332
53.0,136.3518706829996,5.042083573526162,0,0.020833333333333332
54.0,138.6494828518271,5.013160054723694,0,0.020833333333333332
55.0,140.98583605857849,4.9842508812826,0,0.020833333333333332
56.0,143.34657457078137,4.955365895059707,0,0.020833333333333332
57.0,145.71750888061544,4.9265145571925535,0,0.020833333333333332
58.0,148.08490450393657,4.8977059593638215,0,0.020833333333333332
59.0,150.4357597473382,4.868948834714418,0,0.020833333333333332
60.0,152.7580528430682,4.840251568425194,0,0.020833333333333332
61.0,155.04092729045954,4.811622207984669,0,0.020833333333333332
62.0,157.2748042624395,4.7830684731581705,0,0.020833333333333332
